task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	c7/f23f5c	22574906	NFCORE_TFDATAQCTWO:TFDATAQCTWO:FASTQC_FASTP:CAT_FASTQ (WT_REP1)	COMPLETED	0	2025-08-17 18:18:15.534	1m 10s	485ms	9.9%	3.3 MB	4.6 MB	8.5 MB	8.4 MB
2	a6/235cfc	22574907	NFCORE_TFDATAQCTWO:TFDATAQCTWO:FASTQC_FASTP:CAT_FASTQ (WT_REP2)	COMPLETED	0	2025-08-17 18:18:15.565	1m 10s	305ms	15.3%	3.3 MB	4.6 MB	4.2 MB	4.1 MB
5	e5/87b617	22574909	NFCORE_TFDATAQCTWO:TFDATAQCTWO:FASTQC_FASTP:FASTP (WT_REP1)	COMPLETED	0	2025-08-17 18:19:25.218	1m 10s	3.5s	86.5%	1.2 GB	1.4 GB	29 MB	9.3 MB
3	65/0e87c1	22574910	NFCORE_TFDATAQCTWO:TFDATAQCTWO:FASTQC_FASTP:FASTP (WT_REP2)	COMPLETED	0	2025-08-17 18:19:25.246	1m 10s	2.1s	82.8%	1.1 GB	1.4 GB	14.5 MB	4.8 MB
4	78/18fc1d	22574911	NFCORE_TFDATAQCTWO:TFDATAQCTWO:FASTQC_FASTP:FASTQC_RAW (WT_REP2)	COMPLETED	0	2025-08-17 18:19:25.287	1m 25s	17s	49.9%	157.5 MB	6.5 GB	16.2 MB	3.5 MB
6	89/2a1dd2	22574912	NFCORE_TFDATAQCTWO:TFDATAQCTWO:FASTQC_FASTP:FASTQC_RAW (WT_REP1)	COMPLETED	0	2025-08-17 18:19:25.305	1m 25s	18s	51.0%	168 MB	6.5 GB	20.5 MB	3.5 MB
8	93/501a17	22574915	NFCORE_TFDATAQCTWO:TFDATAQCTWO:FASTQC_FASTP:FASTQC_TRIMMED (WT_REP2)	COMPLETED	0	2025-08-17 18:20:35.318	1m 15s	8s	78.3%	163.1 MB	6.5 GB	16.4 MB	3.7 MB
7	fc/d1c120	22574914	NFCORE_TFDATAQCTWO:TFDATAQCTWO:FASTQC_FASTP:FASTQC_TRIMMED (WT_REP1)	COMPLETED	0	2025-08-17 18:20:35.299	1m 25s	15s	58.9%	168.7 MB	6.5 GB	20.9 MB	3.7 MB
9	fa/5d4969	22574919	NFCORE_TFDATAQCTWO:TFDATAQCTWO:MULTIQC	COMPLETED	0	2025-08-17 18:22:00.248	1m 50s	42.1s	17.8%	767.3 MB	10.8 GB	92.4 MB	35.1 MB
